timestamp,eye_fixation_duration_ms,eye_saccade_velocity,eye_blink_rate,mouse_movements_per_min,mouse_idle_time_sec,keyboard_strokes_per_min,keyboard_burst_pattern,tab_switches_per_min,scroll_speed_px_per_sec,time_on_task_min,focus_state
2025-11-23 11:46:53.570255,401.91647339613013,224.53885847042903,17.53470724461485,17,7.516294268688339,57,0.5236378234140976,4,150.3031995854485,6.461649032825307,1
2025-11-23 11:47:03.570255,254.57593970421763,111.68477575431949,18.485975722965772,21,9.23350686069335,83,0.6621452808938895,3,186.52469578236747,14.397878546356841,1
2025-11-23 11:47:13.570255,227.44614122197802,180.37833444528198,13.115424695467468,22,7.531411162688679,85,0.6612545669310178,1,187.6380411679956,8.15295613507185,1
2025-11-23 11:47:23.570255,666.339536044601,122.82115354330426,8.593302180246067,8,28.03595641157138,111,0.8948282875424955,0,44.62801048653362,28.879508607067656,2
2025-11-23 11:47:33.570255,412.6518066243713,268.50727864123405,14.40907378718302,10,3.9589513945288632,52,0.6681143296510389,0,247.03933276598102,14.352312793349855,1
2025-11-23 11:47:43.570255,62.253211850553065,336.83508156556513,35.229240537962646,94,1.8184116597131137,3,0.2611413812698156,10,636.1880164699273,2.547208034869079,0
2025-11-23 11:47:53.570255,403.83032323317207,148.61134194849993,13.004596549695936,33,6.43721674929397,57,0.536420361070415,3,178.86516017605751,17.335125128721575,1
2025-11-23 11:48:03.570255,298.722970984263,289.1190513512493,17.859837624106095,37,11.66078067780387,33,0.5636414221008014,0,302.71690184504547,9.168601116058289,1
2025-11-23 11:48:13.571254,101.66848563098102,349.28433261685785,33.64450683066636,44,1.9642824805598407,4,0.11993671316738552,17,448.7783406836574,3.904509943446424,0
2025-11-23 11:48:23.571254,259.3170095906314,315.0558264865833,13.14375414577726,35,12.995994577051771,86,0.6929242123979383,2,224.26731253012056,8.055504807996483,1
2025-11-23 11:48:33.571254,333.07835911663864,249.64350527899856,15.734289733881756,9,9.978211868436263,40,0.713498273100828,4,264.28586521904,14.694630053284657,1
2025-11-23 11:48:43.571254,93.75068037457821,573.5139536397224,34.001640403923595,49,2.2195456154121844,0,0.16284791291254694,15,546.2676277511919,1.2451895572050602,0
2025-11-23 11:48:53.571254,279.3657484829036,101.31358058329441,17.34490760652135,26,16.369318732446253,53,0.6639413706932861,0,263.8862583933795,16.168041939664334,1
2025-11-23 11:49:03.571254,299.99105349075836,281.78840173965074,20.206137186232624,23,4.049042638537321,58,0.6734698482669255,3,137.41508798966214,13.830769833860103,1
2025-11-23 11:49:13.571254,305.0048152276866,235.5596794456761,17.08137061396215,23,12.013751408230217,41,0.6137227935907534,2,186.4151325850162,6.230501074840066,1
2025-11-23 11:49:23.571254,119.0539901322647,491.9957718310295,30.88900753534812,45,1.2458831831722295,4,0.015298370588351502,8,536.4116446120273,3.2767486045027487,0
2025-11-23 11:49:33.571254,109.21878528902415,552.6323691052947,27.1039207469342,98,0.47979748590080346,0,0.06830675255773486,9,721.2065202549271,2.980390738664972,0
2025-11-23 11:49:43.571254,56.14762282862959,305.880897922991,38.70847482803864,93,0.4781576272574551,14,0.030089052148110924,9,631.4109257171094,0.8934953832892882,0
2025-11-23 11:49:53.571254,61.13805359369748,536.2300022169485,24.819124142110795,77,3.04936448344374,21,0.18565360907175485,6,593.9792555521833,2.1054167669648063,0
2025-11-23 11:50:03.571254,230.41147913211,171.49582430927626,19.89760239337079,33,6.630265720175784,73,0.6359790257036042,2,235.164486127392,14.064680859117566,1
2025-11-23 11:50:13.571254,535.9525546846965,139.91713792523615,10.563326871994423,1,41.52142477435809,89,0.9634574218578621,0,54.8062646673,42.835802690337964,2
2025-11-23 11:50:23.571254,324.34066001323237,127.72174572206794,13.996634481579408,19,7.2731683189357295,50,0.6772525489084731,3,265.896094470534,7.153633320152897,1
2025-11-23 11:50:33.571254,788.8021604862715,99.65410999279732,6.2126693838821785,10,52.93904604355187,121,0.7981743469223906,0,37.71488864776872,45.0262873618912,2
2025-11-23 11:50:43.571254,104.43603645440716,437.5108620784612,31.467830160874325,86,1.345724939253544,26,0.21000366275095947,13,403.3960843982904,3.551101685625126,0
2025-11-23 11:50:53.572260,176.12234740018562,503.75926121901927,41.46571616494836,74,0.7949609924086792,19,0.3174680450814303,5,456.6453482682427,0.9987866669174581,0
2025-11-23 11:51:03.572260,235.6248285517679,220.63195468553832,16.054193815544753,38,9.328845860890262,61,0.6089717318737063,4,310.6608192401379,15.823387349003216,1
2025-11-23 11:51:13.572260,377.33747131011773,298.89010150051604,13.20758703673099,34,7.8853770591771575,29,0.5690607850300623,2,139.57224198389378,14.782574040578679,1
2025-11-23 11:51:23.572260,762.6724314472012,99.36314612504839,11.168318280576505,6,44.622017993955424,135,0.7230698637714752,0,36.23042289980864,32.04975038748974,2
2025-11-23 11:51:33.572260,378.10465022745325,276.74030986212694,11.783120925439908,32,7.60746206578351,78,0.5831644854507843,2,271.3184365212644,13.870512987811917,1
2025-11-23 11:51:43.572260,325.7832223512992,163.0223643131561,17.386869819781463,27,10.71016683831633,58,0.512638943225647,4,266.27733362966694,16.81406671385969,1
2025-11-23 11:51:53.572260,308.35541625014633,127.00759732477948,16.7938890978916,31,12.629450117325458,29,0.5983167600630855,3,130.8138114587925,7.8897238639639715,1
2025-11-23 11:52:03.572260,190.58976725562084,264.938245848554,18.678733437363544,24,9.915022674233763,68,0.7197454514585045,1,104.95221588681046,16.44679952973952,1
2025-11-23 11:52:13.572260,66.7384426272119,493.7271360024044,34.051151876698576,79,1.5042150117895539,11,0.24037961578292127,10,624.5222194081553,1.2557795476987608,0
